what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1394146718859
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1394146718859
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1394146718859
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1394146718859
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1394146718859
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1394146718859
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1394146718859
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1394146718859
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1394146718859
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1394146718859
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1394146718859
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1394146718859
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1394146718859
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1394146718859
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1394146718859
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1394146718859
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1394146718859
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1394146718859
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1394146718859
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1394146718859
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1394146718859
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1394146718859
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1394146718859
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1394146718859
os,sysinfo,,,"win32",1394146718859
arch,sysinfo,,,"x86",1394146718859
ws,sysinfo,,,"win32",1394146718859
locale,sysinfo,,,"en_CA",1394146718859
processors,sysinfo,,,"8",1394146718859
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1394146718859
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1394146718859
java.specification.name,sysinfo,,,"Java Platform API Specification",1394146718859
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1394146718859
java.specification.version,sysinfo,,,"1.6",1394146718859
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1394146718859
java.version,sysinfo,,,"1.6.0_23",1394146718859
java.vm.info,sysinfo,,,"mixed mode",1394146718859
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1394146718859
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1394146718859
